|  n | S                 | Erro Abs   |
|----|-------------------|------------|
|  0 | 2.000000000000000 | 5.1416e+00 |
|  1 | 4.000000000000000 | 3.1416e+00 |
|  2 | 5.333333333333333 | 1.8083e+00 |
|  3 | 6.133333333333333 | 1.0083e+00 |
|  4 | 6.590476190476190 | 5.5112e-01 |
|  5 | 6.844444444444444 | 2.9715e-01 |
|  6 | 6.982972582972582 | 1.5862e-01 |
|  7 | 7.057564657564657 | 8.4028e-02 |
|  8 | 7.097347097347097 | 4.4246e-02 |
|  9 | 7.118408388996624 | 2.3184e-02 |
| 10 | 7.129493279338480 | 1.2099e-02 |
| 11 | 7.135299650469929 | 6.2930e-03 |
| 12 | 7.138329061495033 | 3.2636e-03 |
| 13 | 7.139904355228087 | 1.6883e-03 |
| 14 | 7.140721174200781 | 8.7148e-04 |
| 15 | 7.141143666772864 | 4.4899e-04 |
| 16 | 7.141361727455230 | 2.3093e-04 |
| 17 | 7.141474061746146 | 1.1859e-04 |
| 18 | 7.141531833667188 | 6.0820e-05 |
| 19 | 7.141561500329345 | 3.1153e-05 |
| 20 | 7.141576714002246 | 1.5940e-05 |
| 21 | 7.141584506371293 | 8.1472e-06 |
| 22 | 7.141588493164759 | 4.1604e-06 |
| 23 | 7.141590530859197 | 2.1227e-06 |
| 24 | 7.141591571384017 | 1.0822e-06 |
| 25 | 7.141592102264027 | 5.5133e-07 |
| 26 | 7.141592372908738 | 2.8068e-07 |
| 27 | 7.141592510784346 | 1.4281e-07 |
| 28 | 7.141592580975564 | 7.2614e-08 |
| 29 | 7.141592616686886 | 3.6903e-08 |
| 30 | 7.141592634845185 | 1.8745e-08 |
| 31 | 7.141592644073173 | 9.5166e-09 |
| 32 | 7.141592648760405 | 4.8294e-09 |
| 33 | 7.141592651140076 | 2.4497e-09 |
| 34 | 7.141592652347671 | 1.2421e-09 |
| 35 | 7.141592652960219 | 6.2957e-10 |
| 36 | 7.141592653270807 | 3.1899e-10 |
| 37 | 7.141592653428228 | 1.6156e-10 |
| 38 | 7.141592653507988 | 8.1805e-11 |
| 39 | 7.141592653548386 | 4.1407e-11 |
| 40 | 7.141592653568841 | 2.0952e-11 |
| 41 | 7.141592653579194 | 1.0599e-11 |
| 42 | 7.141592653584434 | 5.3593e-12 |
| 43 | 7.141592653587084 | 2.7089e-12 |
| 44 | 7.141592653588424 | 1.3687e-12 |
| 45 | 7.141592653589102 | 6.9100e-13 |
| 46 | 7.141592653589445 | 3.4817e-13 |
| 47 | 7.141592653589618 | 1.7497e-13 |
| 48 | 7.141592653589705 | 8.7930e-14 |
| 49 | 7.141592653589750 | 4.3521e-14 |
| 50 | 7.141592653589772 | 2.1316e-14 |
| 51 | 7.141592653589783 | 9.7700e-15 |
| 52 | 7.141592653589789 | 4.4409e-15 |
| 53 | 7.141592653589791 | 1.7764e-15 |
| 54 | 7.141592653589793 | 0.0000e+00 |
| 55 | 7.141592653589794 | 8.8818e-16 |
| 56 | 7.141592653589794 | 8.8818e-16 |
